Date;Time;Operation Mode;System Status;Flow [m³/h] W1-BF1;Flow [m³/h] W3-BF1 OR HW VFD Speed [Hz];Inlet Pressure [Bar];Outlet Pressure [Bar];Diff. Pressure [Bar];Uv Unit Temperature [°C];Uv-I Sensor [W/m²];Total Lamp Pwr [kW];Calculated [m³];ByPass;Alarm;Flow Limit;Allowed Flow [m³];FullTime
03-02-2023;07:41:09;Ballast;System Ready;0;0;1,55;1,49;0,06;25,2;0;0;0;System In Line;System Ok;500;35;03-02-2023 07:41
03-02-2023;07:46:09;Ballast;System Ready;0;0;1,55;1,49;0,06;25,2;0;0;0;System In Line;System Ok;500;35;03-02-2023 07:46
03-02-2023;07:51:09;Ballast;Open Recirculation Valves;0;0;1,6;1,54;0,06;25,3;0;0;0;System In Line;System Ok;500;35;03-02-2023 07:51
03-02-2023;07:51:14;Ballast;Recirculation;0;13;1,63;1,57;0,06;25,2;0;0;0;System In Line;System Ok;500;35;03-02-2023 07:51
03-02-2023;07:51:20;Ballast;Powering Up UV Lamps;0;25;1,65;1,59;0,06;25,2;2;14,669;0;System In Line;System Ok;500;35;03-02-2023 07:51
03-02-2023;07:51:25;Ballast;Powering Up UV Lamps;0;25;1,66;1,6;0,06;25,2;6;12,96;0;System In Line;System Ok;500;35;03-02-2023 07:51
03-02-2023;07:51:31;Ballast;Powering Up UV Lamps;0;25;1,66;1,6;0,06;25,2;5;12,799;0;System In Line;System Ok;500;35;03-02-2023 07:51
03-02-2023;07:51:36;Ballast;Powering Up UV Lamps;0;25;1,66;1,6;0,06;25,1;6;14,621;0;System In Line;System Ok;500;35;03-02-2023 07:51
03-02-2023;07:51:42;Ballast;Powering Up UV Lamps;0;25;1,67;1,61;0,06;25;12;19,922;0;System In Line;System Ok;500;35;03-02-2023 07:51
03-02-2023;07:51:47;Ballast;Powering Up UV Lamps;0;25;1,67;1,61;0,06;25;51;31,409;0;System In Line;System Ok;500;35;03-02-2023 07:51
03-02-2023;07:51:53;Ballast;Powering Up UV Lamps;1;25;1,68;1,62;0,06;24,9;142;41,259;0;System In Line;System Ok;500;35;03-02-2023 07:51
03-02-2023;07:51:58;Ballast;Powering Up UV Lamps;47;25;1,68;1,62;0,06;24,9;189;52,64;0;System In Line;System Ok;500;65,625;03-02-2023 07:51
03-02-2023;07:52:04;Ballast;Powering Up UV Lamps;3;25;1,68;1,62;0,06;24,9;249;62,205;0;System In Line;System Ok;500;98,75001;03-02-2023 07:52
03-02-2023;07:52:09;Ballast;Powering Up UV Lamps;46;25;1,68;1,62;0,06;25;315;69,969;0;System In Line;System Ok;500;143,75;03-02-2023 07:52
03-02-2023;07:52:15;Ballast;Powering Up UV Lamps;19;25;1,69;1,63;0,06;25,3;352;71,814;0;System In Line;System Ok;500;165;03-02-2023 07:52
03-02-2023;07:52:20;Ballast;Powering Up UV Lamps;1;25;1,69;1,63;0,06;25,5;350;72,002;0;System In Line;System Ok;500;168,75;03-02-2023 07:52
03-02-2023;07:52:26;Ballast;Powering Up UV Lamps;5;25;1,69;1,63;0,06;25,9;340;72,002;0;System In Line;System Ok;500;162,5;03-02-2023 07:52
03-02-2023;07:52:31;Ballast;Powering Up UV Lamps;21;25;1,7;1,64;0,06;26,3;337;71,997;0;System In Line;System Ok;500;160,625;03-02-2023 07:52
03-02-2023;07:52:37;Ballast;Start Ballast Pump;2;25;1,7;1,64;0,06;26,5;335;72,002;0;System In Line;System Ok;500;160,625;03-02-2023 07:52
03-02-2023;07:52:42;Ballast;Start Ballast Pump;12;25;1,7;1,64;0,06;26,8;330;72,003;0;System In Line;System Ok;500;156,25;03-02-2023 07:52
03-02-2023;07:52:48;Ballast;Start Ballast Pump;21;25;1,71;1,64;0,06;27,1;314;72,004;0;System In Line;System Ok;500;147,5;03-02-2023 07:52
03-02-2023;07:52:53;Ballast;Start Ballast Pump;1;25;1,71;1,65;0,06;27,4;301;72,007;0;System In Line;System Ok;500;138,75;03-02-2023 07:52
03-02-2023;07:52:59;Ballast;Start Ballast Pump;1;25;1,71;1,65;0,06;27,7;289;72,01;0;System In Line;System Ok;500;131,875;03-02-2023 07:52
03-02-2023;07:53:04;Ballast;Running Ballast;11;25;1,72;1,66;0,06;28;282;71,998;0;System In Line;System Ok;500;125,625;03-02-2023 07:53
03-02-2023;07:53:10;Ballast;Running Ballast;11;24;2,99;2,97;0,05;28,3;274;72,001;0;System In Line;System Ok;500;121,25;03-02-2023 07:53
03-02-2023;07:53:15;Ballast;Running Ballast;126;4;3,81;3,73;0,05;28,8;124;71,997;0,1;System In Line;System Ok;500;35;03-02-2023 07:53
03-02-2023;07:53:21;Ballast;Running Ballast;177;0;4,33;4,26;0,07;28,9;329;72,003;0,3;System In Line;System Ok;500;170,625;03-02-2023 07:53
03-02-2023;07:53:26;Ballast;Running Ballast;173;0;4,39;4,32;0,07;28,1;136;72,002;0,6;System In Line;System Ok;500;35;03-02-2023 07:53
03-02-2023;07:53:32;Ballast;Running Ballast;118;0;4,59;4,52;0,07;26,7;400;71,996;0,8;System In Line;System Ok;500;163,125;03-02-2023 07:53
03-02-2023;07:53:37;Ballast;Running Ballast;167;0;4,19;4,1;0,07;25,1;834;71,998;1;System In Line;System Ok;500;471,25;03-02-2023 07:53
03-02-2023;07:53:43;Ballast;Running Ballast;308;0;3,48;3,39;0,08;23,6;818;71,988;1,3;System In Line;System Ok;500;417,5;03-02-2023 07:53
03-02-2023;07:53:48;Ballast;Running Ballast;346;0;3,04;2,94;0,08;22,2;952;71,998;1,9;System In Line;System Ok;500;500;03-02-2023 07:53
03-02-2023;07:53:54;Ballast;Running Ballast;401;0;2,72;2,61;0,09;20,8;1266;70,578;2,4;System In Line;System Ok;500;500;03-02-2023 07:53
